id,entry_point,statements,missing,coverage
0,has_close_elements,9,2,77.78
1,separate_paren_groups,16,2,87.5
2,truncate_number,2,1,50.0
3,below_zero,8,2,75.0
4,mean_absolute_deviation,4,2,50.0
5,intersperse,10,2,80.0
6,parse_nested_parens,12,2,83.33
7,filter_by_substring,3,2,33.33
8,sum_product,8,2,75.0
9,rolling_max,10,2,80.0
10,is_palindrome,7,3,57.14
11,string_xor,7,2,71.43
12,longest,8,2,75.0
13,greatest_common_divisor,4,1,75.0
14,all_prefixes,6,2,66.67
15,string_sequence,2,1,50.0
16,count_distinct_characters,2,1,50.0
17,parse_music,4,2,50.0
18,how_many_times,6,1,83.33
19,sort_numbers,4,2,50.0
20,find_closest_elements,15,2,86.67
21,rescale_to_unit,5,2,60.0
22,filter_integers,3,2,33.33
23,strlen,2,1,50.0
24,largest_divisor,4,1,75.0
25,factorize,13,2,84.62
26,remove_duplicates,5,2,60.0
27,flip_case,2,1,50.0
28,concatenate,3,2,33.33
29,filter_by_prefix,3,2,33.33
30,get_positive,2,1,50.0
31,is_prime,7,1,85.71
32,find_zero,0,0,0.0
33,sort_third,4,1,75.0
34,unique,2,1,50.0
35,max_element,6,1,83.33
36,fizz_buzz,10,1,90.0
37,sort_even,10,1,90.0
38,encode_cyclic,2,1,50.0
39,prime_fib,16,1,93.75
40,triples_sum_to_zero,7,1,85.71
41,car_race_collision,0,0,0.0
42,incr_list,2,1,50.0
43,pairs_sum_to_zero,6,1,83.33
44,change_base,6,1,83.33
45,triangle_area,2,1,50.0
46,fib4,8,1,87.5
47,median,5,1,80.0
48,is_palindrome,5,1,80.0
49,modp,5,1,80.0
50,decode_shift,0,0,0.0
51,remove_vowels,2,1,50.0
52,below_threshold,5,1,80.0
53,add,2,1,50.0
54,same_chars,2,1,50.0
55,fib,6,1,83.33
56,correct_bracketing,9,1,88.89
57,monotonic,4,1,75.0
58,common,7,1,85.71
59,largest_prime_factor,13,2,84.62
60,sum_to_n,2,1,50.0
61,correct_bracketing,9,1,88.89
62,derivative,2,1,50.0
63,fibfib,8,1,87.5
64,vowels_count,0,0,0.0
65,circular_shift,5,1,80.0
66,digitSum,3,1,66.67
67,fruit_distribution,6,1,83.33
68,pluck,0,0,0.0
69,search,9,1,88.89
70,strange_sort_list,7,1,85.71
71,triangle_area,7,1,85.71
72,will_it_fly,10,1,90.0
73,smallest_change,6,1,83.33
74,total_match,10,1,90.0
75,is_multiply_prime,14,1,92.86
76,is_simple_power,7,1,85.71
77,iscube,3,1,66.67
78,hex_key,0,0,0.0
79,decimal_to_binary,2,1,50.0
80,is_happy,7,1,85.71
81,numerical_letter_grade,0,0,0.0
82,prime_length,8,1,87.5
83,starts_one_ends,0,0,0.0
84,solve,2,1,50.0
85,add,2,1,50.0
86,anti_shuffle,2,1,50.0
87,get_row,3,1,66.67
88,sort_array,2,1,50.0
89,encrypt,8,1,87.5
90,next_smallest,3,1,66.67
91,is_bored,4,1,75.0
92,any_int,6,1,83.33
93,encode,5,1,80.0
94,skjkasdkd,0,0,0.0
95,check_dict_case,19,1,94.74
96,count_up_to,11,1,90.91
97,multiply,2,1,50.0
98,count_upper,6,1,83.33
99,closest_integer,14,3,78.57
100,make_a_pile,2,1,50.0
101,words_string,10,1,90.0
102,choose_num,8,1,87.5
103,rounded_avg,7,1,85.71
104,unique_digits,6,1,83.33
105,by_length,0,0,0.0
106,f,11,1,90.91
107,even_odd_palindrome,0,0,0.0
108,count_nums,8,1,87.5
109,move_one_ball,12,1,91.67
110,exchange,12,1,91.67
111,histogram,12,1,91.67
112,reverse_delete,0,0,0.0
113,odd_count,6,1,83.33
114,minSubArraySum,12,1,91.67
115,max_fill,0,0,0.0
116,sort_array,2,1,50.0
117,select_words,10,1,90.0
118,get_closest_vowel,9,1,88.89
119,match_parens,13,1,92.31
120,maximum,0,0,0.0
121,solution,2,1,50.0
122,add_elements,0,0,0.0
123,get_odd_collatz,11,1,90.91
124,valid_date,16,1,93.75
125,split_words,6,1,83.33
126,is_sorted,9,1,88.89
127,intersection,16,1,93.75
128,prod_signs,4,1,75.0
129,minPath,0,0,0.0
130,tri,0,0,0.0
131,digits,11,1,90.91
132,is_nested,16,1,93.75
133,sum_squares,0,0,0.0
134,check_if_last_char_is_a_letter,3,1,66.67
135,can_arrange,8,1,87.5
136,largest_smallest_integers,4,1,75.0
137,compare_one,6,1,83.33
138,is_equal_to_sum_even,2,1,50.0
139,special_factorial,0,0,0.0
140,fix_spaces,19,1,94.74
141,file_name_check,15,1,93.33
142,sum_squares,0,0,0.0
143,words_in_sentence,0,0,0.0
144,simplify,8,1,87.5
145,order_by_points,8,1,87.5
146,specialFilter,9,1,88.89
147,get_max_triples,0,0,0.0
148,bf,9,1,88.89
149,sorted_list_sum,0,0,0.0
150,x_or_y,7,1,85.71
151,double_the_difference,2,1,50.0
152,compare,2,1,50.0
153,Strongest_Extension,10,1,90.0
154,cycpattern_check,8,1,87.5
155,even_odd_count,8,1,87.5
156,int_to_mini_roman,13,1,92.31
157,right_angle_triangle,2,1,50.0
158,find_max,2,1,50.0
159,eat,4,1,75.0
160,do_algebra,0,0,0.0
161,solve,15,1,93.33
162,string_to_md5,3,1,66.67
163,generate_integers,4,1,75.0
