id,entry_point,initial_failures,fixed,removed,final_passed,final_total
63,fibfib,0,0,0,10,10
64,vowels_count,0,0,0,7,7
65,circular_shift,0,0,0,10,10
66,digitSum,0,0,0,10,10
67,fruit_distribution,0,0,0,10,10
68,pluck,10,10,0,10,10
69,search,0,0,0,10,10
70,strange_sort_list,0,0,0,10,10
71,triangle_area,1,1,0,10,10
72,will_it_fly,0,0,0,10,10
73,smallest_change,0,0,0,10,10
74,total_match,0,0,0,10,10
75,is_multiply_prime,4,4,0,10,10
76,is_simple_power,0,0,0,10,10
77,iscube,0,0,0,10,10
78,hex_key,,0,0,0,0
79,decimal_to_binary,0,0,0,10,10
80,is_happy,0,0,0,10,10
81,numerical_letter_grade,,0,0,0,0
82,prime_length,0,0,0,10,10
83,starts_one_ends,,0,0,0,0
84,solve,,0,0,0,0
85,add,0,0,0,10,10
86,anti_shuffle,2,2,0,10,10
87,get_row,0,0,0,10,10
88,sort_array,0,0,0,10,10
89,encrypt,0,0,0,10,10
90,next_smallest,0,0,0,10,10
91,is_bored,0,0,0,10,10
92,any_int,0,0,0,10,10
93,encode,2,2,0,10,10
94,skjkasdkd,,0,0,0,0
95,check_dict_case,0,0,0,10,10
96,count_up_to,0,0,0,10,10
97,multiply,0,0,0,10,10
98,count_upper,1,1,0,10,10
99,closest_integer,0,0,0,10,10
100,make_a_pile,0,0,0,10,10
101,words_string,0,0,0,10,10
102,choose_num,0,0,0,10,10
103,rounded_avg,0,0,0,10,10
104,unique_digits,0,0,0,10,10
105,by_length,,0,0,0,0
106,f,0,0,0,10,10
107,even_odd_palindrome,,0,0,0,0
108,count_nums,0,0,0,10,10
109,move_one_ball,0,0,0,10,10
110,exchange,0,0,0,10,10
111,histogram,0,0,0,10,10
112,reverse_delete,,0,0,0,0
113,odd_count,0,0,0,10,10
114,minSubArraySum,0,0,0,10,10
115,max_fill,,0,0,0,0
116,sort_array,0,0,0,10,10
117,select_words,0,0,0,10,10
118,get_closest_vowel,0,0,0,10,10
119,match_parens,0,0,0,10,10
120,maximum,,0,0,0,0
121,solution,0,0,0,10,10
122,add_elements,,0,0,0,0
123,get_odd_collatz,0,0,0,10,10
124,valid_date,0,0,0,10,10
125,split_words,1,1,0,10,10
126,is_sorted,0,0,0,10,10
127,intersection,0,0,0,10,10
128,prod_signs,0,0,0,10,10
129,minPath,,0,0,0,0
130,tri,,0,0,0,0
131,digits,0,0,0,10,10
132,is_nested,0,0,0,10,10
133,sum_squares,,0,0,0,0
134,check_if_last_char_is_a_letter,1,1,0,10,10
135,can_arrange,0,0,0,10,10
136,largest_smallest_integers,0,0,0,10,10
137,compare_one,1,1,0,10,10
138,is_equal_to_sum_even,0,0,0,10,10
139,special_factorial,,0,0,0,0
140,fix_spaces,0,0,0,10,10
141,file_name_check,0,0,0,10,10
142,sum_squares,,0,0,0,0
143,words_in_sentence,,0,0,0,0
144,simplify,0,0,0,10,10
145,order_by_points,6,6,0,10,10
146,specialFilter,2,2,0,10,10
147,get_max_triples,0,6,0,6,8
148,bf,0,0,0,10,10
149,sorted_list_sum,,0,0,0,0
150,x_or_y,0,0,0,10,10
151,double_the_difference,0,0,0,10,10
152,compare,0,0,0,10,10
153,Strongest_Extension,0,0,0,10,10
154,cycpattern_check,0,0,0,10,10
155,even_odd_count,0,0,0,10,10
156,int_to_mini_roman,0,0,0,10,10
157,right_angle_triangle,1,0,1,9,9
158,find_max,0,0,0,10,10
159,eat,0,0,0,10,10
160,do_algebra,10,3,7,3,3
161,solve,0,0,0,10,10
162,string_to_md5,7,0,7,3,3
163,generate_integers,3,0,3,7,7
